"","DOY","SM_sat","SM_gr"
"153",153,0.274087513345477,0.375573959375
"154",154,0.241629151672122,0.37781760625
"155",155,0.2342291839838,0.374729634375
"156",156,0.239590450626609,0.455237635416667
"157",157,0.295378624165055,0.474979370833333
"158",158,0.280715799915788,0.451695834375
"159",159,0.248478177708385,0.430129602083333
"160",160,0.144929497408867,0.412146804166667
"161",161,0.245760463958976,0.397115098958333
"162",162,0.131581215608119,0.383580277083333
"163",163,0.22902303214967,0.375428283333333
"164",164,0.207696371376512,0.366926388541667
"166",166,0.219287468570468,0.355504135416667
"167",167,0.129976579850911,0.358996797916667
"168",168,0.229740617144105,0.433107
"169",169,0.31483563250899,0.421540408333333
"170",170,0.121197984904048,0.410939132291667
"171",171,0.265976976311204,0.397459490625
"172",172,0.250673228842018,0.3892114625
"173",173,0.0974541007935984,0.379955436458333
"174",174,0.144930895966291,0.37336933125
"175",175,0.0776349153041823,0.395099295833333
"176",176,0.290589102494714,0.392230771875
"177",177,0.111265073716638,0.42071869375
"178",178,0.0846344381570816,0.475978414583333
"179",179,0.288679522413012,0.473393484375
"180",180,0.112714546900985,0.454882130208333
"181",181,0.284451302665469,0.494506307291667
"182",182,0.10840910912752,0.498593544791667
"183",183,0.158663703268766,0.504656272916667
"184",184,0.266746140050886,0.505333263541667
"186",186,0.257306923311946,0.476709246875
"187",187,0.0663272427678097,0.454748105208333
"188",188,0.224905111590025,0.438701008333333
"189",189,0.234210771709678,0.425305233333333
"191",191,0.212794507390259,0.399322039583333
"193",193,0.2263959192574,0.3805307625
"194",194,0.231618200510738,0.373605116666667
"195",195,0.169423666101692,0.369480971875
"196",196,0.22582694814801,0.368084060416667
"197",197,0.197965008544919,0.367646075
"198",198,0.2122992855072,0.36512931875
"199",199,0.194254313534496,0.362536951041667
"200",200,0.226681274768707,0.359368236458333
"201",201,0.13933984106183,0.357839645833333
"202",202,0.198348349025843,0.355065110416667
"203",203,0.238101757550236,0.349961014583333
"204",204,0.195516302442549,0.349644198958333
"205",205,0.225261084339018,0.342163952083333
"206",206,0.184424314549563,0.335822952083333
"207",207,0.147146807837484,0.332920191666667
"208",208,0.130759548062085,0.332925680208333
"209",209,0.146838291177152,0.334815475
"210",210,0.137008326101303,0.335180225
"211",211,0.172130160516498,0.335132475
"212",212,0.174031361219284,0.333640130208333
